# Marker genes for adrenomedullary cells
# gene_id: ENSEMBL Gene ID
# gene_name: Common name of the gene
# avg_log2FC: Log2 fold-change of the average expression between the given cell type and the remaining cells (min 0.5)
# FDR: p-value-derived FDR value for gene 
# is_enriched: A binary (0/1) value indicating whether the given gene is enriched for the cell type (FDR < 0.1)
gene_id	gene_name	avg_log2FC	p_val_adj	is_enriched
ENSG00000155052	CNTNAP5	16.4370444775792	0.0	1.0
	AC079160.1	15.7673785563087	0.0	1.0
ENSG00000164588	HCN1	15.4004234963411	0.0	1.0
ENSG00000186487	MYT1L	15.375251935037	0.0	1.0
ENSG00000078328	RBFOX1	15.372707113404902	0.0	1.0
ENSG00000175344	CHRNA7	15.317754536811302	0.0	1.0
ENSG00000171189	GRIK1	15.2448555719774	0.0	1.0
ENSG00000163618	CADPS	15.0979055024221	0.0	1.0
ENSG00000145526	CDH18	14.838707232838399	0.0	1.0
ENSG00000138696	BMPR1B	14.3423855669313	0.0	1.0
ENSG00000180176	TH	14.273123037634301	0.0	1.0
ENSG00000165521	EML5	14.1677941301058	0.0	1.0
ENSG00000147481	SNTG1	14.0940612099436	0.0	1.0
ENSG00000233008	LINC01725	13.8776538032635	0.0	1.0
ENSG00000136267	DGKB	13.866695623028901	0.0	1.0
	AC092683.1	13.7750881651946	0.0	1.0
	FAM155A	13.3266578294545	0.0	1.0
ENSG00000168843	FSTL5	13.2643863213082	0.0	1.0
ENSG00000157445	CACNA2D3	12.9026813547191	0.0	1.0
ENSG00000148408	CACNA1B	12.7426887848669	0.0	1.0
ENSG00000152208	GRID2	12.716448163343598	0.0	1.0
ENSG00000184305	CCSER1	12.714488525026901	0.0	1.0
ENSG00000171435	KSR2	12.6850862135993	0.0	1.0
ENSG00000196104	SPOCK3	12.671660293539901	0.0	1.0
ENSG00000174482	LINGO2	12.6219845277478	0.0	1.0
ENSG00000186094	AGBL4	12.4553234328064	0.0	1.0
ENSG00000186472	PCLO	12.300357471191699	0.0	1.0
ENSG00000283530	MGAT4C	12.2582066997964	0.0	1.0
ENSG00000285137	MGAT4C	12.2582066997964	0.0	1.0
ENSG00000182050	MGAT4C	12.2582066997964	0.0	1.0
ENSG00000224078	SNHG14	12.1814270684359	0.0	1.0
ENSG00000104381	GDAP1	12.070881743443902	0.0	1.0
ENSG00000179399	GPC5	12.039586762019502	0.0	1.0
ENSG00000155886	SLC24A2	11.9360455503724	0.0	1.0
ENSG00000141449	GREB1L	11.900012621855199	0.0	1.0
ENSG00000196277	GRM7	11.8281583387573	0.0	1.0
ENSG00000183775	KCTD16	11.699733434491801	0.0	1.0
ENSG00000164684	ZNF704	11.585477003249302	0.0	1.0
ENSG00000156687	UNC5D	11.3999363412447	0.0	1.0
ENSG00000152578	GRIA4	11.316207341879199	0.0	1.0
ENSG00000139220	PPFIA2	10.9603866865151	0.0	1.0
ENSG00000225206	MIR137HG	10.8709938838397	0.0	1.0
ENSG00000145808	ADAMTS19	10.8119451170838	0.0	1.0
ENSG00000123454	DBH	10.786606355866699	0.0	1.0
ENSG00000125851	PCSK2	10.6522662563904	0.0	1.0
ENSG00000155816	FMN2	10.6203848323988	0.0	1.0
ENSG00000162631	NTNG1	10.6159203115842	0.0	1.0
ENSG00000130226	DPP6	10.574956817951099	0.0	1.0
ENSG00000168906	MAT2A	10.4850788635251	0.0	1.0
ENSG00000157168	NRG1	10.4116963093745	0.0	1.0
ENSG00000102466	FGF14	10.329081336657	0.0	1.0
ENSG00000155974	GRIP1	10.3002320883846	0.0	1.0
ENSG00000066032	CTNNA2	10.2826177336892	0.0	1.0
ENSG00000169760	NLGN1	10.2490757066074	0.0	1.0
ENSG00000067715	SYT1	10.218816210986	0.0	1.0
ENSG00000185760	KCNQ5	10.2032062912436	0.0	1.0
ENSG00000175161	CADM2	10.155572092172699	0.0	1.0
