# Marker genes for endothelial cells
# gene_id: ENSEMBL Gene ID
# gene_name: Common name of the gene
# avg_log2FC: Log2 fold-change of the average expression between the given cell type and the remaining cells (min 0.5)
# FDR: p-value-derived FDR value for gene 
# is_enriched: A binary (0/1) value indicating whether the given gene is enriched for the cell type (FDR < 0.1)
gene_id	gene_name	avg_log2FC	p_val_adj	is_enriched
ENSG00000172889	EGFL7	18.6904863618594	0.0	1.0
ENSG00000163687	DNASE1L3	18.321822232484898	0.0	1.0
ENSG00000162618	ADGRL4	17.3005823767186	0.0	1.0
ENSG00000125266	EFNB2	14.685141108633301	0.0	1.0
ENSG00000137962	ARHGAP29	14.613464158812802	0.0	1.0
ENSG00000281758	KCNIP4	14.34406973949	0.0	1.0
ENSG00000185774	KCNIP4	14.34406973949	0.0	1.0
ENSG00000130300	PLVAP	14.0346923698682	0.0	1.0
ENSG00000138411	HECW2	13.819043742230198	0.0	1.0
ENSG00000074590	NUAK1	13.65976129564	0.0	1.0
ENSG00000134138	MEIS2	13.476765546507401	0.0	1.0
ENSG00000120156	TEK	13.393832214285	0.0	1.0
ENSG00000079385	CEACAM1	13.375737769959303	0.0	1.0
ENSG00000253438	PCAT1	13.036597938989802	0.0	1.0
ENSG00000163513	TGFBR2	12.935721273830302	0.0	1.0
ENSG00000169744	LDB2	12.914881525587099	0.0	1.0
ENSG00000127329	PTPRB	12.7330181401513	0.0	1.0
ENSG00000162407	PLPP3	12.7258763209966	0.0	1.0
ENSG00000173482	PTPRM	12.6621206114593	0.0	1.0
ENSG00000106991	ENG	12.602599896893999	0.0	1.0
ENSG00000131386	GALNT15	12.5517736864005	0.0	1.0
	CXorf36	12.4995510764273	0.0	1.0
ENSG00000144283	PKP4	12.444293426442599	0.0	1.0
ENSG00000157554	ERG	12.1790838870733	0.0	1.0
ENSG00000261371	PECAM1	11.859034498220902	0.0	1.0
ENSG00000165810	BTNL9	11.8032240395032	0.0	1.0
ENSG00000275326	NOSTRIN	11.3200886683444	0.0	1.0
ENSG00000163072	NOSTRIN	11.3200886683444	0.0	1.0
ENSG00000140563	MCTP2	11.307991633840802	0.0	1.0
ENSG00000122679	RAMP3	11.0374014099836	0.0	1.0
ENSG00000101445	PPP1R16B	10.7448734834934	0.0	1.0
ENSG00000142798	HSPG2	10.392258241276501	0.0	1.0
ENSG00000124191	TOX2	10.1560443024645	0.0	1.0
ENSG00000152689	RASGRP3	9.94973106018785	0.0	1.0
ENSG00000150625	GPM6A	9.844774794145358	0.0	1.0
ENSG00000102760	RGCC	9.83503277338001	0.0	1.0
ENSG00000133019	CHRM3	9.783719546614641	0.0	1.0
ENSG00000185737	NRG3	9.77871077173025	0.0	1.0
ENSG00000184005	ST6GALNAC3	9.22177524735635	0.0	1.0
ENSG00000111145	ELK3	9.08427954348509	0.0	1.0
ENSG00000163788	SNRK	8.981839474454551	0.0	1.0
ENSG00000188559	RALGAPA2	8.97065581070493	0.0	1.0
ENSG00000038295	TLL1	8.85216844066972	0.0	1.0
ENSG00000110328	GALNT18	8.80913433819375	0.0	1.0
ENSG00000196159	FAT4	8.63778303979154	0.0	1.0
ENSG00000129657	SEC14L1	8.52253845175727	0.0	1.0
ENSG00000102755	FLT1	8.51375456038383	0.0	1.0
ENSG00000114315	HES1	8.27165016128198	0.0	1.0
ENSG00000164035	EMCN	8.24599535898471	0.0	1.0
ENSG00000104368	PLAT	8.0602424890465	0.0	1.0
ENSG00000064989	CALCRL	7.858512334101679	0.0	1.0
ENSG00000091409	ITGA6	7.833148644298269	0.0	1.0
ENSG00000073849	ST6GAL1	7.7073474802550805	0.0	1.0
ENSG00000137509	PRCP	7.69699640389272	0.0	1.0
ENSG00000136141	LRCH1	7.65320433436306	0.0	1.0
ENSG00000118407	FILIP1	7.63769365787205	0.0	1.0
ENSG00000106070	GRB10	7.61472082133587	0.0	1.0
ENSG00000140945	CDH13	7.520654500508719	0.0	1.0
ENSG00000174640	SLCO2A1	7.36210231752542	0.0	1.0
ENSG00000126785	RHOJ	7.23931609131011	0.0	1.0
ENSG00000185010	F8	6.733833388850441	0.0	1.0
ENSG00000148841	ITPRIP	6.72582326697279	0.0	1.0
ENSG00000154783	FGD5	6.70147842407292	0.0	1.0
ENSG00000128052	KDR	6.57168135655624	0.0	1.0
ENSG00000018408	WWTR1	6.532188384636309	0.0	1.0
ENSG00000116016	EPAS1	6.26358927288583	0.0	1.0
ENSG00000144810	COL8A1	6.23180154235278	0.0	1.0
ENSG00000148516	ZEB1	5.85409572041437	0.0	1.0
