# Marker genes for glial cells
# gene_id: ENSEMBL Gene ID
# gene_name: Common name of the gene
# avg_log2FC: Log2 fold-change of the average expression between the given cell type and the remaining cells (min 0.5)
# FDR: p-value-derived FDR value for gene 
# is_enriched: A binary (0/1) value indicating whether the given gene is enriched for the cell type (FDR < 0.1)
gene_id	gene_name	avg_log2FC	p_val_adj	is_enriched
ENSG00000179915	NRXN1	10.7218264700945	5.5688602693414876e-117	1.0
ENSG00000071991	CDH19	10.6769242545784	3.951996160345469e-114	1.0
ENSG00000021645	NRXN3	11.301479195198901	1.9195721534232894e-113	1.0
ENSG00000106278	PTPRZ1	14.1732732171471	8.574794511074818e-104	1.0
ENSG00000135298	ADGRB3	10.199127199440198	1.1014767121745498e-100	1.0
ENSG00000108018	SORCS1	8.021242989020049	1.3101179088633298e-93	1.0
ENSG00000196376	SLC35F1	8.62644085212201	4.58795784767626e-93	1.0
	AL845321.1	14.7947786027599	2.27981781918762e-92	1.0
ENSG00000237238	BMS1P10	11.5088932213049	4.86492859118036e-92	1.0
ENSG00000095637	SORBS1	5.609312349702259	7.675845053569839e-87	1.0
ENSG00000171791	BCL2	6.647981097379001	4.5320643179586395e-86	1.0
	AC008056.1	12.550798701407402	6.688539103792729e-85	1.0
ENSG00000156475	PPP2R2B	7.54970246332844	1.0059513898020598e-84	1.0
ENSG00000274089	PRIMA1	20.4873014881588	3.935872456138259e-84	1.0
ENSG00000175785	PRIMA1	20.4873014881588	3.935872456138259e-84	1.0
ENSG00000134121	CHL1	9.134851214007721	1.3138945088936097e-80	1.0
ENSG00000184226	PCDH9	8.36355675177732	6.0253192249999695e-80	1.0
ENSG00000171094	ALK	16.105279110430697	6.571279472003539e-80	1.0
ENSG00000172260	NEGR1	4.3816971867035095	1.4793014901640798e-79	1.0
ENSG00000272168	CASC15	15.6022584072165	7.887745878612609e-76	1.0
ENSG00000124749	COL21A1	14.111226379244401	1.9068186136743597e-75	1.0
ENSG00000183230	CTNNA3	9.04145076515041	2.4897340711129796e-74	1.0
ENSG00000188580	NKAIN2	9.61548159454504	2.694631258499139e-73	1.0
ENSG00000260192	LINC02240	19.8782118913272	1.2840379532357398e-70	1.0
ENSG00000164418	GRIK2	8.79014108029505	1.5190688213903097e-68	1.0
ENSG00000143341	HMCN1	12.8742816944815	5.449623020970639e-67	1.0
ENSG00000124225	PMEPA1	11.537205464818099	1.5058047036523398e-66	1.0
ENSG00000163873	GRIK3	10.4271117620335	1.3839025448589197e-64	1.0
ENSG00000169862	CTNND2	8.60261367952938	5.851103472621319e-62	1.0
ENSG00000277101	ARHGEF26	8.667447205924221	3.1724747019312386e-61	1.0
ENSG00000114790	ARHGEF26	8.667447205924221	3.1724747019312386e-61	1.0
ENSG00000079819	EPB41L2	3.54086509248785	1.0958934502441298e-58	1.0
ENSG00000149571	KIRREL3	10.1634798625816	3.2458407638794294e-58	1.0
ENSG00000138759	FRAS1	9.19545842830567	8.308699216885099e-58	1.0
ENSG00000103740	ACSBG1	7.07819840053252	2.2011614148862895e-57	1.0
ENSG00000151693	ASAP2	9.27166558447652	3.32123410956193e-55	1.0
ENSG00000198597	ZNF536	15.1640017786039	7.260597969167829e-54	1.0
ENSG00000226476	LINC01748	13.6104890214142	1.3395224483255397e-53	1.0
ENSG00000112414	ADGRG6	10.2202341499139	1.2436959752263398e-52	1.0
ENSG00000182348	ZNF804B	9.18482750324619	2.7143397414526396e-52	1.0
ENSG00000138193	PLCE1	8.36667176372072	1.2822264070733898e-51	1.0
ENSG00000182287	AP1S2	9.0737438740447	2.6354451370189395e-51	1.0
ENSG00000181938	GINS3	14.8975184570807	3.4020814255270894e-50	1.0
ENSG00000173320	STOX2	8.97563970080858	3.8777194974258495e-50	1.0
	AC099792.1	10.8018143760934	4.95920059699767e-50	1.0
ENSG00000047365	ARAP2	4.48305167183553	1.21092027262426e-49	1.0
