# Marker genes for lymphatic endothelial cells
# gene_id: ENSEMBL Gene ID
# gene_name: Common name of the gene
# avg_log2FC: Log2 fold-change of the average expression between the given cell type and the remaining cells (min 0.5)
# FDR: p-value-derived FDR value for gene 
# is_enriched: A binary (0/1) value indicating whether the given gene is enriched for the cell type (FDR < 0.1)
gene_id	gene_name	avg_log2FC	p_val_adj	is_enriched
ENSG00000135218	CD36	12.1238367182524	5.45928209868212e-71	1.0
ENSG00000205038	PKHD1L1	8.018038158215651	4.55096609445152e-65	1.0
ENSG00000003436	TFPI	8.16926466889874	7.992672554270858e-61	1.0
ENSG00000110841	PPFIBP1	10.756348851231198	1.5349285081403696e-54	1.0
ENSG00000138722	MMRN1	9.541488144782749	3.327912448972249e-54	1.0
ENSG00000075213	SEMA3A	9.83659709847116	2.9954446850502594e-53	1.0
ENSG00000064989	CALCRL	3.32846556248751	1.0449220126344e-47	1.0
	AC007319.1	9.11800189508779	3.35996755442131e-47	1.0
ENSG00000147459	DOCK5	3.5392485252132704	3.14017380855364e-46	1.0
ENSG00000173320	STOX2	1.36905569066564	1.0329158997610499e-45	1.0
ENSG00000189056	RELN	9.95432795495999	1.29031611935625e-45	1.0
ENSG00000188559	RALGAPA2	2.3448743542426898	2.2814705020925398e-45	1.0
ENSG00000184005	ST6GALNAC3	2.10856818470725	4.4293081204200405e-44	1.0
ENSG00000134215	VAV3	2.39422289041687	5.678788566285129e-39	1.0
ENSG00000150054	MPP7	8.91394653471308	7.716036099185779e-39	1.0
ENSG00000182022	CHST15	1.4039208668467098	1.0334249562478799e-38	1.0
ENSG00000185070	FLRT2	1.8439375925824601	2.94994318279986e-38	1.0
ENSG00000113448	PDE4D	1.7468179737972	1.2952692441077599e-33	1.0
ENSG00000150625	GPM6A	1.4497698508442198	1.0553110214285798e-32	1.0
ENSG00000111145	ELK3	2.2442542325512798	3.50996937833149e-32	1.0
ENSG00000166147	FBN1	13.150109247137499	6.62870021104212e-31	1.0
