# Marker genes for macrophages
# gene_id: ENSEMBL Gene ID
# gene_name: Common name of the gene
# avg_log2FC: Log2 fold-change of the average expression between the given cell type and the remaining cells (min 0.5)
# FDR: p-value-derived FDR value for gene 
# is_enriched: A binary (0/1) value indicating whether the given gene is enriched for the cell type (FDR < 0.1)
gene_id	gene_name	avg_log2FC	p_val_adj	is_enriched
ENSG00000214787	MS4A4E	18.7654351719293	0.0	1.0
ENSG00000166927	MS4A7	18.017965235785802	0.0	1.0
ENSG00000114013	CD86	17.3966292936108	0.0	1.0
ENSG00000071073	MGAT4A	16.820356791203	0.0	1.0
ENSG00000285132	CTSB	16.7682068837284	0.0	1.0
ENSG00000164733	CTSB	16.7682068837284	0.0	1.0
ENSG00000135838	NPL	16.4727098538793	0.0	1.0
ENSG00000168405	CMAHP	16.3909953584817	0.0	1.0
ENSG00000244682	FCGR2C	16.3457007179641	0.0	1.0
ENSG00000137491	SLCO2B1	16.2417735694651	0.0	1.0
ENSG00000182578	CSF1R	15.9861599336379	0.0	1.0
	AC008957.3	15.674900785984	0.0	1.0
ENSG00000123124	WWP1	15.424536094702498	0.0	1.0
ENSG00000010327	STAB1	15.2784743959144	0.0	1.0
ENSG00000111885	MAN1A1	15.2758066386551	0.0	1.0
ENSG00000184060	ADAP2	15.2745150336728	0.0	1.0
ENSG00000231607	DLEU2	15.221787804131699	0.0	1.0
ENSG00000122862	SRGN	15.0624441836704	0.0	1.0
ENSG00000064652	SNX24	15.0408263742397	0.0	1.0
ENSG00000128805	ARHGAP22	14.7866599839012	0.0	1.0
ENSG00000100055	CYTH4	14.7304449440448	0.0	1.0
ENSG00000163162	RNF149	14.6311936026549	0.0	1.0
ENSG00000110077	MS4A6A	14.497324888468599	0.0	1.0
ENSG00000204103	MAFB	14.490292817543	0.0	1.0
ENSG00000113269	RNF130	14.447843600768001	0.0	1.0
ENSG00000155659	VSIG4	14.3857618574656	0.0	1.0
ENSG00000196209	SIRPB2	14.2948412784442	0.0	1.0
ENSG00000033867	SLC4A7	14.104436614146302	0.0	1.0
ENSG00000177575	CD163	13.9916092639884	0.0	1.0
ENSG00000104447	TRPS1	13.7891779970796	0.0	1.0
ENSG00000109861	CTSC	13.788968670267401	0.0	1.0
ENSG00000167291	TBC1D16	13.7537595854006	0.0	1.0
ENSG00000166068	SPRED1	13.6688509086848	0.0	1.0
ENSG00000150782	IL18	13.642898211422601	0.0	1.0
ENSG00000066294	CD84	13.496822199757199	0.0	1.0
ENSG00000138756	BMP2K	13.4814468108387	0.0	1.0
	AC110995.1	13.349965042924198	0.0	1.0
	AC126177.4	13.1260055776284	0.0	1.0
ENSG00000142185	TRPM2	13.112590022114	0.0	1.0
ENSG00000088827	SIGLEC1	13.0654560493684	0.0	1.0
ENSG00000169087	HSPBAP1	12.994861117859001	0.0	1.0
ENSG00000178573	MAF	12.981046676087502	0.0	1.0
ENSG00000187605	TET3	12.979686857058198	0.0	1.0
ENSG00000168214	RBPJ	12.8863086166881	0.0	1.0
ENSG00000197535	MYO5A	12.8414970479595	0.0	1.0
ENSG00000100600	LGMN	12.836586570616	0.0	1.0
ENSG00000077063	CTTNBP2	12.834218627571301	0.0	1.0
ENSG00000166928	MS4A14	12.661616652976802	0.0	1.0
ENSG00000143344	RGL1	12.6271628479026	0.0	1.0
ENSG00000115919	KYNU	12.5811718393396	0.0	1.0
ENSG00000121933	TMIGD3	12.549499040985301	0.0	1.0
ENSG00000157107	FCHO2	12.460856357412199	0.0	1.0
ENSG00000139132	FGD4	12.4499737167241	0.0	1.0
ENSG00000140262	TCF12	12.367256266068198	0.0	1.0
ENSG00000112531	QKI	12.2776998868855	0.0	1.0
	AC093152.1	12.266334233587502	0.0	1.0
ENSG00000119900	OGFRL1	12.259754944552	0.0	1.0
	DLEU7-AS1	12.1880199005162	0.0	1.0
ENSG00000114331	ACAP2	12.138240903870301	0.0	1.0
ENSG00000175471	MCTP1	12.1284163149709	0.0	1.0
ENSG00000137266	SLC22A23	12.0820867016564	0.0	1.0
ENSG00000113532	ST8SIA4	12.0812579152517	0.0	1.0
ENSG00000162946	DISC1	12.071387803773801	0.0	1.0
ENSG00000155629	PIK3AP1	12.050511863914402	0.0	1.0
ENSG00000275565	ALOX5	11.985769369702401	0.0	1.0
ENSG00000012779	ALOX5	11.985769369702401	0.0	1.0
ENSG00000140022	STON2	11.982388332413098	0.0	1.0
ENSG00000285022	MFHAS1	11.9664621936938	0.0	1.0
ENSG00000147324	MFHAS1	11.9664621936938	0.0	1.0
