# Marker genes for zona glomerulosa cells
# gene_id: ENSEMBL Gene ID
# gene_name: Common name of the gene
# avg_log2FC: Log2 fold-change of the average expression between the given cell type and the remaining cells (min 0.5)
# FDR: p-value-derived FDR value for gene 
# is_enriched: A binary (0/1) value indicating whether the given gene is enriched for the cell type (FDR < 0.1)
gene_id	gene_name	avg_log2FC	p_val_adj	is_enriched
ENSG00000206190	ATP10A	9.12062904188767	0.0	1.0
ENSG00000175497	DPP10	8.65189403331737	0.0	1.0
ENSG00000180287	PLD5	8.1162108673061	0.0	1.0
	FAM19A4	7.957721013738509	0.0	1.0
ENSG00000183166	CALN1	7.79216141761851	0.0	1.0
ENSG00000157388	CACNA1D	7.22316462989115	0.0	1.0
ENSG00000144893	MED12L	6.82113705926913	0.0	1.0
ENSG00000179142	CYP11B2	6.72145311328817	0.0	1.0
ENSG00000170011	MYRIP	6.65965436006163	0.0	1.0
ENSG00000112232	KHDRBS2	6.32034106054982	0.0	1.0
ENSG00000182985	CADM1	6.176837690044169	0.0	1.0
ENSG00000165966	PDZRN4	6.079448310764249	0.0	1.0
ENSG00000005471	ABCB4	5.3256100123367	0.0	1.0
ENSG00000185052	SLC24A3	5.08503352315584	0.0	1.0
ENSG00000178607	ERN1	5.07593795049275	0.0	1.0
ENSG00000114279	FGF12	5.04432005145247	0.0	1.0
ENSG00000183580	FBXL7	4.661342283901231	0.0	1.0
ENSG00000187398	LUZP2	4.57032404240413	0.0	1.0
ENSG00000088538	DOCK3	4.2439175432631	0.0	1.0
ENSG00000145147	SLIT2	3.9441193626172595	0.0	1.0
ENSG00000152377	SPOCK1	3.93512211661509	0.0	1.0
ENSG00000183780	SLC35F3	3.6500541067605097	0.0	1.0
ENSG00000262139	ANO4	3.5467910402719105	0.0	1.0
ENSG00000151572	ANO4	3.5467910402719105	0.0	1.0
ENSG00000276644	DACH1	2.85677044481896	0.0	1.0
ENSG00000100234	TIMP3	2.05436508748802	0.0	1.0
ENSG00000123358	NR4A1	1.67740436443344	0.0	1.0
ENSG00000165995	CACNB2	1.23245204207255	0.0	1.0
ENSG00000148948	LRRC4C	1.01749068596649	0.0	1.0
ENSG00000107518	ATRNL1	9.81980484909063	1.0372929719639295e-301	1.0
ENSG00000164483	SAMD3	4.08776090775046	1.2729790006435193e-300	1.0
ENSG00000153234	NR4A2	6.159401324537259	9.276891662431135e-297	1.0
ENSG00000204291	COL15A1	4.31254986316592	1.2438680458077793e-296	1.0
ENSG00000157617	C2CD2	2.86874645719466	2.2512207535505593e-293	1.0
ENSG00000148154	UGCG	5.593952874683371	4.191794014602026e-289	1.0
ENSG00000197959	DNM3	4.07962101122862	2.731713832898168e-288	1.0
ENSG00000138795	LEF1	8.77896396414896	1.4517750058964991e-285	1.0
ENSG00000163032	VSNL1	7.166875880430571	1.587596658270799e-285	1.0
ENSG00000089057	SLC23A2	5.84928861053861	1.6832924624519389e-282	1.0
ENSG00000196782	MAML3	4.74305789095749	6.542347417553047e-257	1.0
ENSG00000057252	SOAT1	3.03053927526322	3.642150343664658e-254	1.0
ENSG00000069667	RORA	2.71172112298032	5.482588829895678e-254	1.0
ENSG00000196482	ESRRG	1.66386722022447	5.907678607102886e-252	1.0
ENSG00000284017	PLCL2	6.83109319089202	1.8688438996518386e-247	1.0
ENSG00000154822	PLCL2	6.83109319089202	1.8688438996518386e-247	1.0
	WDR63	3.8774250728498703	5.452298939881376e-228	1.0
ENSG00000171303	KCNK3	4.18398058252966	1.811747699948299e-227	1.0
ENSG00000130844	ZNF331	4.35353640389133	3.709515776696628e-227	1.0
ENSG00000119508	NR4A3	5.12067538098674	5.884870581942117e-220	1.0
ENSG00000111424	VDR	5.06208296645984	5.259253227366577e-212	1.0
ENSG00000174944	P2RY14	5.886428602925481	4.921385154613708e-211	1.0
ENSG00000232414	CYP21A2	2.09047631533217	1.7331280324376793e-208	1.0
ENSG00000198457	CYP21A2	2.09047631533217	1.7331280324376793e-208	1.0
ENSG00000233151	CYP21A2	2.09047631533217	1.7331280324376793e-208	1.0
ENSG00000235134	CYP21A2	2.09047631533217	1.7331280324376793e-208	1.0
ENSG00000206338	CYP21A2	2.09047631533217	1.7331280324376793e-208	1.0
ENSG00000231852	CYP21A2	2.09047631533217	1.7331280324376793e-208	1.0
ENSG00000198963	RORB	6.4683166745156395	2.9386463621517687e-202	1.0
ENSG00000151835	SACS	3.92541685796939	9.868542792001407e-200	1.0
ENSG00000121440	PDZRN3	2.41807171494276	3.9401350004552884e-198	1.0
ENSG00000171208	NETO2	5.55171572865145	6.2347625546486974e-198	1.0
ENSG00000236250	STK19	6.007395380215889	2.239236457854039e-196	1.0
ENSG00000226033	STK19	6.007395380215889	2.239236457854039e-196	1.0
ENSG00000226257	STK19	6.007395380215889	2.239236457854039e-196	1.0
ENSG00000206342	STK19	6.007395380215889	2.239236457854039e-196	1.0
ENSG00000234947	STK19	6.007395380215889	2.239236457854039e-196	1.0
ENSG00000204344	STK19	6.007395380215889	2.239236457854039e-196	1.0
ENSG00000138829	FBN2	3.48203966311273	2.528324259224369e-192	1.0
	AP000676.5	1.47034078238993	1.0518469330952395e-188	1.0
ENSG00000181788	SIAH2	0.837171702594787	8.082825802246547e-186	1.0
ENSG00000259417	CTXND1	9.46657217631132	4.1143745882832386e-184	1.0
ENSG00000153071	DAB2	2.47020140351861	2.746519320560479e-179	1.0
ENSG00000095794	CREM	0.6860438597493429	1.3774016917944994e-178	1.0
ENSG00000137501	SYTL2	7.811397822959809	2.3870126718750791e-178	1.0
ENSG00000164830	OXR1	11.3384102397315	2.2420978633032995e-177	1.0
ENSG00000117069	ST6GALNAC5	0.846497471132009	2.1208068153772496e-175	1.0
ENSG00000006468	ETV1	5.6138756270198	7.653184819160337e-174	1.0
ENSG00000259719	LINC02284	2.87892391717964	1.978765154868469e-172	1.0
ENSG00000170500	LONRF2	6.1582971285068	3.4861044312675285e-172	1.0
ENSG00000091129	NRCAM	2.39274147291971	1.0072531850003698e-168	1.0
ENSG00000135111	TBX3	1.70276254251544	4.561636375521108e-168	1.0
ENSG00000152092	ASTN1	1.1107704296778502	3.1640856291012095e-165	1.0
ENSG00000196352	CD55	3.56870051137733	3.286604535031389e-161	1.0
ENSG00000136111	TBC1D4	3.04468069091311	1.6645307850886894e-160	1.0
ENSG00000154330	PGM5	14.129218220504802	5.994335623548198e-157	1.0
ENSG00000095397	WHRN	1.02690191938716	7.564217707016578e-153	1.0
ENSG00000185046	ANKS1B	0.699585188544164	2.2601549101250093e-151	1.0
ENSG00000091428	RAPGEF4	8.39521625799924	4.828534425705858e-149	1.0
ENSG00000105810	CDK6	9.64186524801217	1.9778655354686694e-148	1.0
ENSG00000148655	LRMDA	7.35386647411824	1.0318882387362196e-147	1.0
ENSG00000151322	NPAS3	2.63202416656675	1.3771833136677095e-144	1.0
ENSG00000127948	POR	3.73003249747489	1.3064981608034498e-143	1.0
ENSG00000251562	MALAT1	0.68570101721197	1.9133887561156595e-142	1.0
ENSG00000120262	CCDC170	5.057917029852749	1.1445927596909298e-139	1.0
ENSG00000168743	NPNT	1.5726709098059	1.1599798983121697e-138	1.0
ENSG00000103018	CYB5B	1.8703451744224098	2.5914873583171392e-138	1.0
ENSG00000182667	NTM	5.5442982528497895	1.9713090062485697e-136	1.0
ENSG00000060718	COL11A1	2.5968448201439	1.3431744080823098e-133	1.0
ENSG00000152767	FARP1	4.1162172955832	1.0665496346518697e-132	1.0
ENSG00000269821	KCNQ1OT1	2.88999587193221	1.8002523831887495e-129	1.0
ENSG00000109790	KLHL5	3.0471346919775497	1.2297988563682096e-127	1.0
ENSG00000131370	SH3BP5	0.8576660223848911	2.0667518500317994e-127	1.0
ENSG00000185518	SV2B	4.0272122958888	2.5781398096985893e-126	1.0
	AL049647.1	2.49811165078369	5.574965190765858e-126	1.0
ENSG00000064651	SLC12A2	8.91361492052665	8.731728736968229e-125	1.0
ENSG00000282956	MAGI1	6.5174202774689105	1.5365671606604894e-122	1.0
ENSG00000151276	MAGI1	6.5174202774689105	1.5365671606604894e-122	1.0
ENSG00000108654	DDX5	1.16095654094895	1.0705378251850096e-121	1.0
ENSG00000139514	SLC7A1	6.297866278400231	2.1087412248225895e-120	1.0
ENSG00000137714	FDX1	3.9188274748382597	1.4194014144374397e-116	1.0
ENSG00000142494	SLC47A1	2.6692129146991	1.1653081200047297e-115	1.0
ENSG00000076555	ACACB	1.0889758994154901	1.0545656060763799e-113	1.0
ENSG00000135750	KCNK1	3.4395940533844103	3.786891617660479e-113	1.0
ENSG00000064042	LIMCH1	1.4613404288268501	2.3870676929155495e-110	1.0
ENSG00000123892	RAB38	3.0678232898334503	5.127353430368659e-106	1.0
ENSG00000038427	VCAN	3.38083129707137	7.121103397439049e-106	1.0
ENSG00000106927	AMBP	4.69031870434231	2.483997280115759e-104	1.0
	AC025627.1	4.806790052639429	3.0866448320147093e-104	1.0
ENSG00000177570	SAMD12	3.92443663614147	1.6556353528852195e-102	1.0
ENSG00000081913	PHLPP1	1.52687510297954	3.2359325327641792e-102	1.0
ENSG00000164300	SERINC5	0.5742488792053629	5.858356754649049e-102	1.0
ENSG00000101638	ST8SIA5	3.48239734466431	2.2112512198989696e-101	1.0
ENSG00000105699	LSR	5.957527082508639	5.247585081211429e-100	1.0
ENSG00000131018	SYNE1	4.06853437191656	1.0411810422441097e-99	1.0
ENSG00000163492	CCDC141	2.37834483580813	5.562758484500469e-99	1.0
ENSG00000162873	KLHDC8A	3.0428167740076204	4.00531175982858e-96	1.0
ENSG00000255282	WTAPP1	3.3842062630513596	6.966106167143299e-96	1.0
ENSG00000144381	HSPD1	1.87425027567281	7.975277128132218e-96	1.0
ENSG00000125772	GPCPD1	1.39149305461624	1.7137299630233796e-95	1.0
ENSG00000144891	AGTR1	6.85130050298656	4.279008949195219e-95	1.0
ENSG00000087095	NLK	3.1905218685109102	7.477498133131207e-95	1.0
ENSG00000169756	LIMS1	6.04473580338814	7.877596389842709e-93	1.0
ENSG00000152049	KCNE4	2.32252268735286	2.0576578132658395e-90	1.0
ENSG00000196376	SLC35F1	1.9362563214779198	1.7579313161650197e-89	1.0
ENSG00000162415	ZSWIM5	1.34037751798297	1.7630354275117694e-89	1.0
ENSG00000245534	RORA-AS1	1.15354972626003	2.02969707259101e-89	1.0
ENSG00000053524	MCF2L2	2.0550391681301297	1.61419760376612e-88	1.0
ENSG00000149294	NCAM1	1.4294510087375598	2.0755896383780997e-88	1.0
ENSG00000089177	KIF16B	0.9087394829423929	4.3968784578774296e-88	1.0
ENSG00000054793	ATP9A	1.01472726103781	1.6721378898849496e-86	1.0
ENSG00000169031	COL4A3	4.915506258776849	2.7082520963020993e-86	1.0
ENSG00000155970	MICU3	0.9397462963283799	8.362046749236348e-86	1.0
ENSG00000282076	KCNQ1	2.48254561610131	1.0073920016279197e-85	1.0
ENSG00000053918	KCNQ1	2.48254561610131	1.0073920016279197e-85	1.0
	AC115618.2	2.8084581667261403	3.3770302884887695e-84	1.0
ENSG00000131873	CHSY1	0.830916633838187	4.5364624053715e-80	1.0
ENSG00000119771	KLHL29	1.8159942280273602	3.177841051621819e-79	1.0
	AP005329.2	4.70737300669436	5.384722038100528e-78	1.0
	AC073365.1	5.0315312657895	1.0337659317942498e-77	1.0
ENSG00000091656	ZFHX4	1.63178800153546	6.288544063192949e-75	1.0
ENSG00000251209	LINC00923	3.1787621269484103	9.698855177777127e-75	1.0
ENSG00000171476	HOPX	4.91195327331992	1.5653242159897897e-74	1.0
ENSG00000106610	STAG3L4	1.75652192099124	3.706700107226489e-74	1.0
ENSG00000117335	CD46	2.21593384109095	1.13110654449429e-73	1.0
ENSG00000008277	ADAM22	4.05241364190129	3.213628271667649e-73	1.0
	AC121338.1	7.60678444632735	4.879892885320769e-73	1.0
	AC007424.1	3.7727123853804203	1.7409060929792698e-71	1.0
ENSG00000162105	SHANK2	3.9739324764357997	2.1599667062491693e-71	1.0
ENSG00000224289	IFIT6P	4.25366818172319	2.2523655559385797e-71	1.0
ENSG00000169991	IFFO2	3.14796261958704	1.4907749330169896e-70	1.0
ENSG00000235363	SNRPGP10	4.09756053857264	1.1210229844078298e-69	1.0
ENSG00000147724	FAM135B	0.642973065335736	3.8079643388927095e-68	1.0
ENSG00000236008	LINC01814	1.49162799948513	1.3285641022637896e-66	1.0
ENSG00000120457	KCNJ5	4.42179522125103	1.0374858106159997e-65	1.0
	AL391095.1	3.0283058940987795	1.1638154829164396e-65	1.0
ENSG00000239002	SCARNA10	1.43050340500301	1.4027328849992898e-65	1.0
	C9orf84	9.97875329286798	5.048028088127739e-65	1.0
	AC137055.1	2.26768238870858	1.2961502495013198e-62	1.0
ENSG00000115825	PRKD3	1.4063331908071899	2.1300217936179792e-62	1.0
ENSG00000239882	CYP21A1P	4.32783321615066	8.649155228662129e-62	1.0
ENSG00000229856	CYP21A1P	4.32783321615066	8.649155228662129e-62	1.0
ENSG00000231759	CYP21A1P	4.32783321615066	8.649155228662129e-62	1.0
ENSG00000204338	CYP21A1P	4.32783321615066	8.649155228662129e-62	1.0
ENSG00000284126	SMURF1	1.25484150301976	9.913306943140889e-62	1.0
ENSG00000198742	SMURF1	1.25484150301976	9.913306943140889e-62	1.0
ENSG00000171385	KCND3	1.61264984674452	1.2574028654321498e-61	1.0
	AC064834.1	1.9637090720263402	2.2041475679656596e-60	1.0
ENSG00000109339	MAPK10	0.7919525761519041	3.4292891763575393e-59	1.0
ENSG00000121957	GPSM2	4.81075703601216	4.682964774596969e-59	1.0
	NOV	1.85556846769524	5.770516407446249e-59	1.0
ENSG00000115828	QPCT	2.61831915634272	1.8922196984645997e-58	1.0
ENSG00000115641	FHL2	9.36196873125953	7.160780029180548e-58	1.0
ENSG00000081181	ARG2	3.71359299860936	9.719702498388789e-58	1.0
ENSG00000055955	ITIH4	1.06396312888825	1.7848467393516495e-57	1.0
ENSG00000162494	LRRC38	1.76029809932615	3.18155938842854e-57	1.0
	AC091132.5	2.06693439839829	5.378729638159519e-57	1.0
ENSG00000183579	ZNRF3	0.9410025919023001	7.16559917325896e-57	1.0
