# Marker genes for zona reticularis cells
# gene_id: ENSEMBL Gene ID
# gene_name: Common name of the gene
# avg_log2FC: Log2 fold-change of the average expression between the given cell type and the remaining cells (min 0.5)
# FDR: p-value-derived FDR value for gene 
# is_enriched: A binary (0/1) value indicating whether the given gene is enriched for the cell type (FDR < 0.1)
gene_id	gene_name	avg_log2FC	p_val_adj	is_enriched
ENSG00000122477	LRRC39	6.32166172346833	0.0	1.0
ENSG00000284099	SQSTM1	5.7530622030336795	0.0	1.0
ENSG00000161011	SQSTM1	5.7530622030336795	0.0	1.0
ENSG00000163082	SGPP2	4.95537244944511	0.0	1.0
ENSG00000053108	FSTL4	4.50234487166309	0.0	1.0
ENSG00000197580	BCO2	4.33608605534644	0.0	1.0
ENSG00000245532	NEAT1	3.30299449046674	0.0	1.0
ENSG00000147872	PLIN2	3.23521460615483	0.0	1.0
	AC005096.1	3.18924298814421	0.0	1.0
ENSG00000125657	TNFSF9	3.04340419459131	0.0	1.0
ENSG00000115896	PLCL1	2.74126366065775	0.0	1.0
	AC005363.2	2.70457610525123	0.0	1.0
ENSG00000259108	LINC01595	2.5477964931955697	0.0	1.0
ENSG00000177459	ERICH5	2.45536304972226	0.0	1.0
	AL021578.1	2.4394763441367404	0.0	1.0
	AP003170.4	2.18615209435283	0.0	1.0
ENSG00000150471	ADGRL3	2.01933297115923	0.0	1.0
ENSG00000241217	RN7SL809P	2.00214232273147	0.0	1.0
	AC021097.2	1.8172770359517398	0.0	1.0
ENSG00000146809	ASB15	1.79280800475762	0.0	1.0
ENSG00000069020	MAST4	1.7861368303448	0.0	1.0
	AP003393.1	1.73899456394596	0.0	1.0
	AC024257.4	1.71847133645567	0.0	1.0
ENSG00000226985	LINC01203	1.6408792606148002	0.0	1.0
	AC144573.1	1.60194860495105	0.0	1.0
	AC034268.2	1.5313042853698702	0.0	1.0
ENSG00000178172	SPINK6	1.4200934224976298	0.0	1.0
ENSG00000198125	MB	1.3659972744659499	0.0	1.0
	AC008592.4	1.3423651551526499	0.0	1.0
ENSG00000154229	PRKCA	1.2973951304405602	0.0	1.0
	AC025465.1	1.2512993097905702	0.0	1.0
ENSG00000213512	GBP7	1.23472755920236	0.0	1.0
ENSG00000197360	ZNF98	1.1380197495763602	0.0	1.0
ENSG00000188611	ASAH2	1.03571821785597	0.0	1.0
ENSG00000232093	DCST1-AS1	1.00820000602641	0.0	1.0
	AC106894.1	0.868634382942485	0.0	1.0
ENSG00000265972	TXNIP	0.831008187141943	0.0	1.0
