# Marker genes for T cells
# gene_id: ENSEMBL Gene ID
# gene_name: Common name of the gene
# avg_log2FC: Log2 fold-change of the average expression between the given cell type and the remaining cells (min 0.5)
# FDR: p-value-derived FDR value for gene 
# is_enriched: A binary (0/1) value indicating whether the given gene is enriched for the cell type (FDR < 0.1)
gene_id	gene_name	avg_log2FC	p_val_adj	is_enriched
ENSG00000275122	THEMIS	12.9208821179656	3.096413436474729e-95	1.0
ENSG00000172673	THEMIS	12.9208821179656	3.096413436474729e-95	1.0
ENSG00000262418	PTPRC	7.147075525835559	8.072323956953608e-95	1.0
ENSG00000081237	PTPRC	7.147075525835559	8.072323956953608e-95	1.0
ENSG00000110848	CD69	14.814680700195101	6.200811619699629e-90	1.0
ENSG00000048740	CELF2	4.74766094918755	1.0922185014851898e-85	1.0
ENSG00000198846	TOX	10.7646837413698	9.318456286320248e-82	1.0
ENSG00000075884	ARHGAP15	4.74141401144387	1.5980605467216295e-81	1.0
ENSG00000234663	LINC01934	18.0826129353308	1.07352827095481e-80	1.0
ENSG00000171791	BCL2	6.34987089569762	1.3111122210484795e-74	1.0
ENSG00000115165	CYTIP	12.334028860295598	1.3021594509929798e-71	1.0
ENSG00000245164	LINC00861	11.9368082326408	1.4194993810667697e-71	1.0
ENSG00000113263	ITK	9.635118401341199	1.4195599015064097e-66	1.0
ENSG00000147138	GPR174	9.233209645845868	6.999740665868598e-64	1.0
ENSG00000115232	ITGA4	7.52212160357726	5.634506845397639e-62	1.0
ENSG00000134954	ETS1	5.67142458466097	1.01274137541824e-61	1.0
	AC006369.1	5.9058690717514	3.198353833840049e-61	1.0
ENSG00000168421	RHOH	10.2309593520715	1.1882928224871897e-60	1.0
ENSG00000185811	IKZF1	5.338855948011441	1.1610902748478298e-59	1.0
ENSG00000159216	RUNX1	2.52627156061663	3.40700686249956e-58	1.0
ENSG00000020633	RUNX3	7.2499451464511395	6.778552168079159e-57	1.0
ENSG00000134516	DOCK2	0.6759416361502281	1.09014020932967e-56	1.0
ENSG00000141293	SKAP1	2.4652264252483502	5.606396638510449e-56	1.0
ENSG00000205045	SLFN12L	12.3551569440406	9.129402310319909e-56	1.0
ENSG00000081320	STK17B	4.884699968041651	2.0187188594419497e-55	1.0
ENSG00000101096	NFATC2	7.13131961501037	8.776339280478549e-53	1.0
ENSG00000134028	ADAMDEC1	4.64236376684057	1.4801271456148398e-52	1.0
ENSG00000285368	RPL10P19	7.209794422138491	2.4562406538506997e-52	1.0
ENSG00000233609	RPL10P19	7.209794422138491	2.4562406538506997e-52	1.0
ENSG00000134242	PTPN22	7.485079043202091	4.525900969233769e-52	1.0
ENSG00000159618	ADGRG5	5.896305138811541	9.351152322015248e-51	1.0
ENSG00000168229	PTGDR	8.796768676732801	8.871254832875238e-50	1.0
ENSG00000185101	ANO9	4.23194815361871	1.06404628307365e-49	1.0
ENSG00000026751	SLAMF7	7.1575049691465304	1.44499577578177e-49	1.0
ENSG00000115085	ZAP70	8.081515901605231	1.1261561458915401e-48	1.0
	AC243829.1	8.29502630484575	1.2580726323842399e-48	1.0
ENSG00000090104	RGS1	2.26319375274785	1.3917509286996798e-48	1.0
ENSG00000100351	GRAP2	8.17158815674698	1.74393855465768e-48	1.0
ENSG00000281981	TRBC1	6.37058099828547	2.07828709183128e-48	1.0
